case_id,title,symptom,topology_note,show_outputs,expected_fault,expected_osi_layer,concept_tag,severity,expected_next_command,expected_fix_steps,expected_rule_ids
NET-022,Wrong encapsulation sub-interface binding tag,VLAN 22 clients cannot negotiate DHCP or access router sub-interface.,"{""nodes"":[{""id"":""pc1"",""name"":""User-VLAN-22"",""type"":""PC"",""ip"":""10.22.22.15"",""status"":""failed"",""x"":150,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""r1"",""name"":""ROUTER-01"",""type"":""Router"",""ip"":""10.22.22.1"",""status"":""warning"",""x"":500,""y"":180,""interfaces"":[""Gi0/0.22""]}],""links"":[{""source"":""pc1"",""target"":""r1"",""status"":""failed"",""bandwidth"":""1 Gbps (Sub-if Tag Error)""}]}","ROUTER-01# show running-config interface GigabitEthernet0/0.22
interface GigabitEthernet0/0.22
 encapsulation dot1Q 33 (MISCONFIGURED encapsulation bound to tag 33 instead of 22!)
 ip address 10.22.22.1 255.255.255.0",A sub-interface VLAN encapsulation mismatch. dot1Q encapsulation tag is 33 instead of matching VLAN 22.,Layer 2 (Data Link),Inter-VLAN Routing,High,show interface GigabitEthernet0/0.22,"configure terminal
interface GigabitEthernet0/0.22
encapsulation dot1Q 22",RC-15
NET-023,DHCP relay helper address missing on interface,Branch clients in VLAN 50 cannot fetch DHCP lease. Central DHCP server is up.,"{""nodes"":[{""id"":""pc1"",""name"":""Branch-PC-V50"",""type"":""PC"",""ip"":""169.254.20.1"",""status"":""failed"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""r1"",""name"":""BRANCH-ROUTER-02"",""type"":""Router"",""ip"":""10.50.50.1"",""status"":""warning"",""x"":400,""y"":180,""interfaces"":[""Gi0/0.50""]},{""id"":""srv1"",""name"":""DHCP-Server"",""type"":""Server"",""ip"":""10.30.30.50"",""status"":""active"",""x"":700,""y"":320,""interfaces"":[""Gi1/1""]}],""links"":[{""source"":""pc1"",""target"":""r1"",""status"":""failed"",""bandwidth"":""100 Mbps (APIPA / No helper)""},{""source"":""r1"",""target"":""srv1"",""status"":""active"",""bandwidth"":""10 Gbps""}]}","BRANCH-ROUTER-02# show running-config interface GigabitEthernet0/0.50
interface GigabitEthernet0/0.50
 encapsulation dot1Q 50
 ip address 10.50.50.1 255.255.255.0
 (WARNING: No ip helper-address DHCP relay command configured!)",The VLAN 50 sub-interface lacks an 'ip helper-address' routing directive. DHCP broadcast requests cannot be unicast to the central DHCP server.,Layer 3 (Network),IPAM / DHCP,High,show ip protocols,"configure terminal
interface GigabitEthernet0/0.50
ip helper-address 10.30.30.50 (Forward DHCP broadcasts to server IP)",RC-11
NET-024,NAT translation pool exhaustion,New branch office clients cannot browse outbound websites. Syslogs show translation pool full.,"{""nodes"":[{""id"":""pc1"",""name"":""Outbound-Client"",""type"":""PC"",""ip"":""192.168.10.15"",""status"":""active"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""r1"",""name"":""BORDER-RT-02"",""type"":""Router"",""ip"":""192.168.10.1"",""status"":""warning"",""x"":450,""y"":180,""interfaces"":[""Gi0/0""]},{""id"":""srv1"",""name"":""Public-Web"",""type"":""Server"",""ip"":""1.1.1.1"",""status"":""failed"",""x"":800,""y"":320,""interfaces"":[""Gi1/1""]}],""links"":[{""source"":""pc1"",""target"":""r1"",""status"":""active"",""bandwidth"":""1 Gbps""},{""source"":""r1"",""target"":""srv1"",""status"":""failed"",""bandwidth"":""1 Gbps (NAT Pool Exhausted)""}]}","BORDER-RT-02# show ip nat statistics
Dynamic mappings:
  -- Inside Source
  [list 1 pool BRANCH-POOL] refcount 254
  pool BRANCH-POOL: netmask 255.255.255.252
    start 198.51.100.1 end 198.51.100.2
    total addresses: 2, allocated: 2 (100% used)
    translation creation failures: 1892 (Exhaustion!)","The outbound NAT translation pool BRANCH-POOL only contains 2 public IP addresses without 'overload' configured, causing allocation failure.",Layer 3 (Network),L3 NAT,High,show running-config | include ip nat,"configure terminal
ip nat inside source list 1 pool BRANCH-POOL overload (Configure PAT to support multiple clients per IP)",RC-12
NET-025,OSPF route advertisement area statement missing,Branch LAN routes are not advertised to CORE. Branch LAN cannot ping server.,"{""nodes"":[{""id"":""pc1"",""name"":""Branch-Client"",""type"":""PC"",""ip"":""192.168.1.15"",""status"":""active"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""r1"",""name"":""BRANCH-RT-03"",""type"":""Router"",""ip"":""192.168.12.2"",""status"":""warning"",""x"":450,""y"":180,""interfaces"":[""Gi0/0""]},{""id"":""r2"",""name"":""CORE-ROUTER-01"",""type"":""Router"",""ip"":""192.168.12.1"",""status"":""active"",""x"":800,""y"":180,""interfaces"":[""Gi0/1""]}],""links"":[{""source"":""pc1"",""target"":""r1"",""status"":""active"",""bandwidth"":""1 Gbps""},{""source"":""r1"",""target"":""r2"",""status"":""failed"",""bandwidth"":""10 Gbps (Subnet Route Missing)""}]}","BRANCH-RT-03# show running-config | section router ospf
router ospf 1
 router-id 3.3.3.3
 network 192.168.12.0 0.0.0.3 area 0
 (WARNING: Missing network 192.168.1.0 0.0.0.255 area 0 for local subnet!)","The branch LAN subnet 192.168.1.0/24 is missing from OSPF advertisements, so distant routing entities do not know how to route to it.",Layer 3 (Network),L3 Routing,High,show ip ospf interface brief,"configure terminal
router ospf 1
network 192.168.1.0 0.0.0.255 area 0",RC-08
NET-026,Switchport native trunk VLAN leak,Cisco switch logging trunk native VLAN mismatch warnings on central management interface.,"{""nodes"":[{""id"":""sw1"",""name"":""ACCESS-SWITCH-05"",""type"":""Switch"",""ip"":""10.1.1.5"",""status"":""warning"",""x"":200,""y"":180,""interfaces"":[""Gi0/1""]},{""id"":""sw2"",""name"":""CORE-SWITCH-02"",""type"":""Switch"",""ip"":""10.1.1.1"",""status"":""warning"",""x"":600,""y"":180,""interfaces"":[""Gi0/1""]}],""links"":[{""source"":""sw1"",""target"":""sw2"",""status"":""failed"",""bandwidth"":""1 Gbps (VLAN Mismatch)""}]}","ACCESS-SWITCH-05# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      5

CORE-SWITCH-02# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      1",The trunk link has inconsistent Native VLAN bindings (VLAN 5 vs VLAN 1). Untagged frames will leak cross-VLANs and create bridging loops.,Layer 2 (Data Link),L2 Trunking,Medium,show cdp neighbors detail,"configure terminal
interface GigabitEthernet0/1
switchport trunk native vlan 1",RC-07
NET-027,ACL blocking domain name service UDP port 53,Corporate PCs can ping raw server IPs but report they cannot resolve local network domain names.,"{""nodes"":[{""id"":""pc1"",""name"":""Client-PC"",""type"":""PC"",""ip"":""10.10.10.15"",""status"":""active"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""sw1"",""name"":""CORE-SWITCH-01"",""type"":""Switch"",""ip"":""10.10.10.2"",""status"":""warning"",""x"":400,""y"":180,""interfaces"":[""Vlan10""]},{""id"":""srv1"",""name"":""DNS-Server"",""type"":""Server"",""ip"":""10.30.30.50"",""status"":""failed"",""x"":700,""y"":320,""interfaces"":[""Gi1/1""]}],""links"":[{""source"":""pc1"",""target"":""sw1"",""status"":""active"",""bandwidth"":""100 Mbps""},{""source"":""sw1"",""target"":""srv1"",""status"":""failed"",""bandwidth"":""1 Gbps (DNS Blocked)""}]}","CORE-SWITCH-01# show ip access-lists SECURE-ACL
Extended IP access list SECURE-ACL
    10 deny udp any any eq 53 (match-count 2541)
    20 permit ip any any","An active Access Control List blocking UDP port 53, preventing DNS requests and cutting off symbolic name resolution.",Layer 4 (Transport),Security,High,show running-config | include access-list,"configure terminal
ip access-list extended SECURE-ACL
no 10 (Remove explicit UDP DNS block)
10 permit udp any any eq 53 (Allow DNS resolution dynamically)",RC-09
NET-028,Switch virtual interface administratively down,Management access lost to distribution switch DIST-SWITCH-03. SVI gateway unreachable.,"{""nodes"":[{""id"":""sw1"",""name"":""DIST-SWITCH-03"",""type"":""Switch"",""ip"":""10.10.10.3"",""status"":""failed"",""x"":300,""y"":180,""interfaces"":[""Vlan10""]},{""id"":""r1"",""name"":""CORE-ROUTER-01"",""type"":""Router"",""ip"":""10.10.10.1"",""status"":""active"",""x"":600,""y"":180,""interfaces"":[""Gi0/0""]}],""links"":[{""source"":""sw1"",""target"":""r1"",""status"":""failed"",""bandwidth"":""10 Gbps (SVI Shutdown)""}]}","DIST-SWITCH-03# show ip interface brief vlan 10
Interface              IP-Address      OK? Status                Protocol
Vlan10                 10.10.10.3      YES manual administratively down down","The Switch Virtual Interface for management VLAN 10 was left shut down, completely disabling remote management.",Layer 3 (Network),L2 Switching,High,show run interface Vlan10,"configure terminal
interface Vlan10
no shutdown",RC-01
NET-029,Duplicate gateway SVI allocation conflict,Router SVI interface flap warning. Duplicate MAC warning on core distribution backbone.,"{""nodes"":[{""id"":""r1"",""name"":""CORE-ROUTER-01"",""type"":""Router"",""ip"":""10.10.10.1"",""status"":""failed"",""x"":200,""y"":180,""interfaces"":[""Gi0/0""]},{""id"":""sw1"",""name"":""DIST-SWITCH-01"",""type"":""Switch"",""ip"":""10.10.10.1"",""status"":""warning"",""x"":600,""y"":180,""interfaces"":[""Vlan10""]}],""links"":[{""source"":""r1"",""target"":""sw1"",""status"":""failed"",""bandwidth"":""10 Gbps (IP Conflict)""}]}","DIST-SWITCH-01# show logging | include Duplicate
%IP-4-DUPADDR: Duplicate IP address 10.10.10.1 on Vlan10, sourced by mac address 00ee.ffff.1122","A rogue host or secondary router SVI has been misconfigured with the primary gateway address: 10.10.10.1, creating an ARP conflict loop.",Layer 3 (Network),IPAM,Critical,show mac address-table address 00ee.ffff.1122,"Track port learning MAC 00ee.ffff.1122 and shut down offending interface, or reallocate SVI IP.",RC-05
NET-030,ACL blocking outgoing domain lookup,Internal office subnet unable to resolve external websites. Ping by name failing.,"{""nodes"":[{""id"":""pc1"",""name"":""User-Client"",""type"":""PC"",""ip"":""192.168.10.15"",""status"":""active"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""r1"",""name"":""BORDER-ROUTER-01"",""type"":""Router"",""ip"":""192.168.10.1"",""status"":""warning"",""x"":500,""y"":180,""interfaces"":[""Gi0/1""]}],""links"":[{""source"":""pc1"",""target"":""r1"",""status"":""failed"",""bandwidth"":""1 Gbps (DNS Blocked)""}]}","BORDER-ROUTER-01# show ip access-lists
Extended IP access list OUTBOUND-FILTER
    10 deny udp any any eq domain (match-count 1204)
    20 permit ip any any",An outbound filter ACL blocks TCP/UDP DNS queries (domain / Port 53) on BORDER-ROUTER-01 GigabitEthernet0/1.,Layer 4 (Transport),Security,Medium,show running-config interface GigabitEthernet0/1,"configure terminal
ip access-list extended OUTBOUND-FILTER
no 10 (Allow outgoing domain name queries)",RC-09
NET-031,Wireless client unable to obtain DHCP address,"Guest laptop connecting to wireless SSID Corp-WLAN is stuck with an APIPA address (169.254.x.x) and cannot reach default gateway.","{""nodes"":[{""id"":""pc1"",""name"":""Wireless-Laptop"",""type"":""PC"",""ip"":""169.254.100.22"",""vlan"":""VLAN 80"",""status"":""failed"",""x"":100,""y"":320,""interfaces"":[""Wlan0""]},{""id"":""ap1"",""name"":""LAP-OFFICE-01"",""type"":""Router"",""ip"":""10.80.80.2"",""status"":""active"",""x"":400,""y"":180,""interfaces"":[""Gig0""]},{""id"":""srv1"",""name"":""Corp-DHCP"",""type"":""Server"",""ip"":""10.30.30.50"",""status"":""active"",""x"":700,""y"":320,""interfaces"":[""Gi1/1""]}],""links"":[{""source"":""pc1"",""target"":""ap1"",""status"":""failed"",""bandwidth"":""54 Mbps (No DHCP)""},{""source"":""ap1"",""target"":""srv1"",""status"":""active"",""bandwidth"":""1 Gbps""}]}","WLC-01# show wlan 1
SSID: Corp-WLAN
VLAN Identifier: 80
CORE-ROUTER-01# show running-config interface GigabitEthernet0/0.80
interface GigabitEthernet0/0.80
 encapsulation dot1Q 80
 ip address 10.80.80.1 255.255.255.0
 (WARNING: No ip helper-address command configured!)","The wireless client's VLAN 80 sub-interface lacks an 'ip helper-address' directive to forward DHCP broadcasts to the central DHCP server.","Layer 3 (Network)","Wireless / DHCP","High","show running-config interface GigabitEthernet0/0.80","configure terminal
interface GigabitEthernet0/0.80
ip helper-address 10.30.30.50","RC-11"
NET-032,Incorrect WLAN VLAN mapping,"Clients connecting to Staff-Wifi cannot reach the corporate intranet. The WLC reports traffic is bound to VLAN 99 but that VLAN is missing on the switchports.","{""nodes"":[{""id"":""pc1"",""name"":""Staff-Smartphone"",""type"":""PC"",""ip"":""10.99.99.15"",""status"":""failed"",""x"":150,""y"":320,""interfaces"":[""Wlan0""]},{""id"":""wlc1"",""name"":""CORP-WLC-01"",""type"":""Switch"",""ip"":""10.10.10.25"",""status"":""warning"",""x"":500,""y"":180,""interfaces"":[""Po1""]}],""links"":[{""source"":""pc1"",""target"":""wlc1"",""status"":""failed"",""bandwidth"":""300 Mbps (Missing VLAN)""}]}","CORP-WLC-01# show wlan summary
WLAN ID  SSID             Interface/Interface Group
1        Staff-Wifi       VLAN99
ACCESS-SWITCH-01# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2
10   Engineering                      active    Fa0/3
(VLAN 99 is missing from the switch database!)","The Staff-Wifi WLAN is mapped to VLAN 99 but VLAN 99 does not exist in the access switch local database, causing all associated traffic to be dropped.","Layer 2 (Data Link)","Wireless / VLAN","High","show vlan brief","configure terminal
vlan 99
name Staff-VLAN
exit","RC-06"
NET-033,AP / WLC connectivity failure,"Lightweight AP in the warehouse fails to join the centralized Wireless LAN Controller, remaining in a continuous discovery loop.","{""nodes"":[{""id"":""ap1"",""name"":""LAP-WH-02"",""type"":""PC"",""ip"":""10.20.20.14"",""status"":""failed"",""x"":150,""y"":320,""interfaces"":[""Fa0""]},{""id"":""wlc1"",""name"":""CORP-WLC-01"",""type"":""Switch"",""ip"":""10.10.10.25"",""status"":""active"",""x"":500,""y"":180,""interfaces"":[""Gi0/1""]}],""links"":[{""source"":""ap1"",""target"":""wlc1"",""status"":""failed"",""bandwidth"":""100 Mbps (No CAPWAP)""}]}","LAP-WH-02# show capwap client state
CAPWAP State: Discovery
%CAPWAP-3-ERROR_HANDSHAKE: Failed to join WLC. DHCP Option 43 is missing from DHCP Pool.
WLC-01# show ap join stats
No lightweight APs are currently joined in the database.","Lightweight AP cannot join the controller because the DHCP pool lacks Option 43 which advertises the WLC IP address.","Layer 3 (Network)","Wireless","High","show ip dhcp pool","configure terminal
ip dhcp pool AP-POOL
option 43 hex f1040a0a0a19","RC-10"
NET-034,Guest wireless isolation failure,"WLAN guest clients are able to ping the corporate database server. The guest network anchor controller or gateway is missing access list rules.","{""nodes"":[{""id"":""pc1"",""name"":""Guest-Laptop"",""type"":""PC"",""ip"":""172.16.200.15"",""status"":""active"",""x"":100,""y"":320,""interfaces"":[""Wlan0""]},{""id"":""wlc1"",""name"":""GUEST-ANCHOR"",""type"":""Switch"",""ip"":""172.16.200.25"",""status"":""warning"",""x"":450,""y"":180,""interfaces"":[""Gi0/1""]},{""id"":""srv1"",""name"":""CORP-DB"",""type"":""Server"",""ip"":""10.50.50.100"",""status"":""failed"",""x"":800,""y"":320,""interfaces"":[""Gi1/1""]}],""links"":[{""source"":""pc1"",""target"":""wlc1"",""status"":""active"",""bandwidth"":""54 Mbps""},{""source"":""wlc1"",""target"":""srv1"",""status"":""failed"",""bandwidth"":""1 Gbps (Security Leak)""}]}","GUEST-ANCHOR# show ip access-lists
Extended IP access list GUEST-ACL
    10 permit ip any any
(WARNING: Access list permits guest access to corporate network 10.0.0.0/8!)","The guest access controller lacks filtering rules to isolate guest wireless clients from the corporate private network ranges.","Layer 4 (Transport)","Wireless / Security","Medium","show running-config interface GigabitEthernet0/1","configure terminal
ip access-list extended GUEST-ACL
10 deny ip any 10.0.0.0 0.255.255.255
20 permit ip any any","RC-09"
NET-035,Wireless VLAN / trunk issue,"Centralized WLC cannot reach core subnet. Switchport GigabitEthernet0/24 trunk allowed list is missing wireless VLAN 80.","{""nodes"":[{""id"":""wlc1"",""name"":""CORP-WLC"",""type"":""Switch"",""ip"":""10.80.80.25"",""status"":""warning"",""x"":200,""y"":180,""interfaces"":[""Gi0/1""]},{""id"":""sw1"",""name"":""CORE-SWITCH-01"",""type"":""Switch"",""ip"":""10.10.10.2"",""status"":""active"",""x"":600,""y"":180,""interfaces"":[""Gi0/24""]}],""links"":[{""source"":""wlc1"",""target"":""sw1"",""status"":""failed"",""bandwidth"":""1 Gbps (Trunk VLAN Mismatch)""}]}","CORE-SWITCH-01# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/24      on               802.1q         trunking      1
Port        Vlans allowed on trunk
Gi0/24      1,10,20,30
(WARNING: VLAN 80 is not in the allowed list on the trunk port!)","The trunk link interface is missing VLAN 80 in its trunk allowed VLAN list, blocking all wireless client traffic from reaching the network core.","Layer 2 (Data Link)","Wireless / VLAN","High","show interfaces trunk","configure terminal
interface GigabitEthernet0/24
switchport trunk allowed vlan add 80","RC-07"
